navy_movement_speed,movement_speed_in_fleet_modifier,medium,Related fleet movement speed
navy_repair_cost,global_ship_repair,medium,Related to ship repair
navy_tradition_decay,navy_tradition_decay,high,Direct equivalent - navy tradition decay
navy_tradition_from_battle,naval_tradition_from_battle,high,Direct equivalent - navy tradition from battles
navy_transport_build_cost_modifier,transport_cost,high,Direct equivalent - transport ship build cost
navy_transport_maintenance_cost_modifier,naval_maintenance_modifier,medium,EU4 covers all naval maintenance not just transports
navy_transport_power,transport_power,high,Direct equivalent - transport power from pips
navy_transport_reinforce_cost_modifier,,none,EU5-specific transport repair cost
navy_weight_modifier,,none,EU5-specific navy weight/supply mechanic
no_beards,,none,EU5-specific character/culture rule
no_contact_with_outsiders_cost_modifier,,none,EU5-specific isolation action
no_lowborn_leaders,,none,EU5-specific commander class restriction
nobles_estate_agenda_impact,,none,EU5-specific estate agenda
nobles_estate_levy_size,,none,EU5-specific estate levy
nobles_estate_max_tax,,none,EU5-specific estate tax range
nobles_estate_min_tax,,none,EU5-specific estate tax range
nobles_estate_satisfaction_decay,,none,EU5-specific estate satisfaction
nobles_estate_satisfaction_recovery,,none,EU5-specific estate satisfaction
nobles_estate_target_satisfaction,,none,EU5-specific estate satisfaction equilibrium
nomos_empsychos_bureaucracy_impact_modifier,,none,EU5-specific Byzantine bureaucracy
non_rural_migration_attraction,,none,EU5-specific urban migration attraction
num_bailiffs,,none,EU5-specific bailiff mechanic
num_local_governors,,none,EU5-specific governor mechanic
num_naval_governors,,none,EU5-specific naval governor mechanic
num_of_banner_cavalry,,none,EU5-specific banner cavalry
num_of_cataphracts_modifier,,none,EU5-specific Byzantine cataphract
num_of_legionaries_modifier,,none,EU5-specific Roman legionary
num_of_varangian_units,,none,EU5-specific Byzantine Varangian
num_possible_artists,,none,EU5-specific artist limit
num_possible_rivals,,none,EU5-specific rivals limit (EU4 has 3 rivals hard-coded)
number_of_allowed_avatars,,none,EU5-specific avatar mechanic
number_of_allowed_religious_figures,,none,EU5-specific religious figure mechanic
number_of_satellite_trade_buildings,,none,EU5-specific satellite trade buildings
ocean_proximity_impact,,none,EU5-specific proximity system
ocean_wasteland_proximity_impact,,none,EU5-specific proximity system
offer_diplomatic_protection_price_cost_modifier,,none,EU5-specific diplomatic protection action
omen_strength_modifier,,none,EU5-specific omen system
omen_time_modifier,,none,EU5-specific omen system
omens_offered,,none,EU5-specific omen system
organize_spiritual_retreat_cost_modifier,,none,EU5-specific religious action
orthodox_monastery_building_cost_modifier,,none,EU5-specific Orthodox building action
orthodox_synod_cost_modifier,,none,EU5-specific Orthodox synod action
overlord_blocked_from_building_buildings,,none,EU5-specific overlord restriction
overlord_blocked_from_building_rgos,,none,EU5-specific overlord restriction
overlord_blocked_from_building_roads,,none,EU5-specific overlord restriction
overlord_blocked_from_building_ships,,none,EU5-specific overlord restriction
overlord_blocked_from_recruiting_regiments,,none,EU5-specific overlord restriction
own_coast_naval_combat_bonus,own_coast_naval_combat_bonus,high,Direct equivalent - naval combat bonus in own coastal waters
papacy_blocked,,none,EU5-specific papacy block flag
papal_authority_modifier,,none,EU5-specific papal authority modifier
papal_relations,,none,EU5-specific papal relations (EU4 has papal_influence but different)
pardon_price_cost_modifier,,none,EU5-specific character pardon action
parliament_abolished,,none,EU5-specific parliament abolition flag
parliament_base_support,parliament_backing_chance,medium,Related parliament support/backing mechanic
parliament_duration_modifier,parliament_effect_duration,medium,Related parliament duration but different phase
parliament_duration_modifier,parliament_debate_duration,medium,Related parliament debate duration
parliament_request_issue_support_needed,,none,EU5-specific parliament support threshold
payment_to_overlord_modifier,,none,EU5-specific overlord payment
peace_offer_fairness,,none,EU5-specific peace AI mechanic
peace_offer_negotiation_power,,none,EU5-specific peace AI mechanic
peasants_allowed_weapons,,none,EU5-specific peasant rights
peasants_estate_agenda_impact,,none,EU5-specific estate agenda
peasants_estate_levy_size,,none,EU5-specific estate levy
peasants_estate_max_tax,,none,EU5-specific estate tax range
peasants_estate_min_tax,,none,EU5-specific estate tax range
peasants_estate_satisfaction_decay,,none,EU5-specific estate satisfaction
peasants_estate_satisfaction_recovery,,none,EU5-specific estate satisfaction
peasants_estate_target_satisfaction,,none,EU5-specific estate satisfaction equilibrium
eu5_modifier,eu4_matches,confidence,notes
peasants_war_actions_price_cost_modifier,,none,EU5-specific Peasants' War situation
perform_tantric_ritual_cost_modifier,,none,EU5-specific tantric ritual action
perform_yoga_cost_modifier,,none,EU5-specific yoga action
periphora_cost_modifier,,none,EU5-specific Byzantine action
permanent_parliament_location,,none,EU5-specific parliament location flag
pilgrimage_action_cost_modifier,,none,EU5-specific pilgrimage religious action
plan_italian_campaign_wars_price_cost_modifier,,none,EU5-specific Italian Wars action
plateau_proximity_impact,,none,EU5-specific proximity system
plateau_wasteland_proximity_impact,,none,EU5-specific proximity system
policy_vote_cost_modifier,,none,EU5-specific policy vote action
pop_countries_opinions,,none,EU5-specific pop opinion system
pop_join_rebel_threshold,,none,EU5-specific pop rebel mechanic
pop_leave_rebels_threshold,,none,EU5-specific pop rebel mechanic
port_cost_distance_from_capital,,none,EU5-specific port proximity system
possible_frontage_modifier,,none,EU5-specific battle frontage
power_projection,,none,EU5-specific power projection (EU4 has power_projection_from_insults)
prestige_decay,prestige_decay,high,Direct equivalent - prestige decay
prestige_from_land_battle,prestige_from_land,high,Direct equivalent - prestige from land battles
prestige_from_naval_battle,prestige_from_naval,high,Direct equivalent - prestige from naval battles
prevented_from_changing_court_language_by_overlord,,none,EU5-specific overlord restriction
privateer_durability,,none,EU5-specific privateer mechanic
privateer_maintenance_cost_modifier,,none,EU5-specific privateer maintenance
proclaim_decree_cost_modifier,,none,EU5-specific decree action
procure_remedies_cost_modifier,,none,EU5-specific plague/disease action
promote_sect_cost_modifier,,none,EU5-specific religious sect action
propose_curia_action_cost_modifier,curia_powers_cost,high,Both modify curia action costs
province_integration_speed,global_integration_speed_modifier,high,Related to integration/annexation speed of provinces
provoke_rebels_price_cost_modifier,,none,EU5-specific rebel provocation action
rank_duchy_upgrade_cost_modifier,,none,EU5-specific rank upgrade cost
rank_empire_upgrade_cost_modifier,,none,EU5-specific rank upgrade cost
rank_kingdom_upgrade_cost_modifier,,none,EU5-specific rank upgrade cost
ransom_units_cost_modifier,,none,EU5-specific ransom action
raw_material_in_province_impact,,none,EU5-specific raw materials system
reach_compromise_with_huguenots_price_cost_modifier,,none,EU5-specific Huguenots situation action
reasons_to_elect,reasons_to_elect,high,Direct equivalent - reasons for HRE electors to vote
reasons_to_vote,,none,EU5-specific voting reasons (EU4 has legitimate_subject_elector but different)
rebel_monthly_progress,,none,EU5-specific rebel progress (EU4 uses global_unrest)
recruit_conquistador_cost_modifier,,none,EU5-specific conquistador recruitment cost
recruit_explorer_cost_modifier,,none,EU5-specific explorer recruitment cost
reduce_rebels_from_ikko_ikki_cost_modifier,,none,EU5-specific Ikko-ikki action
reestablish_hellenism_price_cost_modifier,,none,EU5-specific Hellenism action
regiment_recruit_speed,global_regiment_recruit_speed,high,Direct equivalent - regiment recruitment speed
regiment_reinforcement_speed,reinforce_speed,high,Direct equivalent - regiment reinforcement speed
reject_subjugation_reasons,,none,EU5-specific subjugation rejection (inverse of accept_subjugation_reasons)
religious_icon_power_modifier,,none,EU5-specific religious icon system
religious_offering_cost_modifier,,none,EU5-specific religious offering action
religious_turmoil_actions_price_cost_modifier,,none,EU5-specific religious turmoil situation
religious_unity_importance_modifier,,none,EU5-specific AI importance modifier
relocate_ecumenical_patriarchate_cost_modifier,,none,EU5-specific Orthodox patriarchate action
relocate_market_cost_modifier,,none,EU5-specific market relocation action
remove_accepted_culture_cost_modifier,,none,EU5-specific culture removal action
remove_bureaucracy_price_cost_modifier,,none,EU5-specific bureaucracy removal
remove_government_reform_cost_modifier,,none,EU5-specific reform removal action
remove_location_from_international_organization_cost_modifier,,none,EU5-specific international organization action
remove_lutheran_preacher_cost_modifier,,none,EU5-specific Lutheran preacher action
remove_panaqa_early_cost_modifier,,none,EU5-specific Inca panaqa action
remove_religious_aspect_christian_cost_modifier,,none,EU5-specific religious aspect action
remove_religious_aspect_hellenism_cost_modifier,,none,EU5-specific religious aspect action
remove_religious_aspect_inti_cost_modifier,,none,EU5-specific religious aspect action
remove_tolerated_culture_cost_modifier,,none,EU5-specific tolerated culture action
replace_cabinet_member_cost_modifier,,none,EU5-specific cabinet action
replace_rival_cost_modifier,rival_change_cost,high,Direct equivalent - cost to replace rival
request_aid_price_cost_modifier,,none,EU5-specific aid request action
reroll_avatar_cost_modifier,,none,EU5-specific avatar action
research_speed,,none,EU5-specific research speed (EU4 uses technology_cost)
research_speed_modifier,technology_cost,medium,Related tech progress but different mechanic (cost vs speed)
reshape_bureaucracy_cost_modifier,,none,EU5-specific bureaucracy reshape action
restore_rome_primacy_price_cost_modifier,,none,EU5-specific Roman primacy action
restrict_peranakan_trading_rights_price_cost_modifier,,none,EU5-specific Peranakan action
retreat_delay,,none,EU5-specific retreat mechanic
revoke_privilege_cost_modifier,,none,EU5-specific estate privilege action
revoke_privileges_importance_modifier,,none,EU5-specific AI importance modifier
revoke_privileges_stability_tolerance,,none,EU5-specific stability tolerance
revoke_shugo_office_cost_modifier,,none,EU5-specific shugo office action
revoke_town_rights_cost_modifier,,none,EU5-specific urban rights action
revolution_actions_price_cost_modifier,,none,EU5-specific revolution situation
rise_of_the_szlachta_actions_price_cost_modifier,,none,EU5-specific Szlachta situation
ritualistic_court_bureaucracy_impact_modifier,,none,EU5-specific Chinese bureaucracy
road_cost_on_distance_from_capital,,none,EU5-specific road proximity system
roman_festivals_cost_modifier,,none,EU5-specific Roman festival action
romanitas_bureaucracy_impact_modifier,,none,EU5-specific Byzantine bureaucracy
rot_reform_into_monarchy_price_cost_modifier,,none,EU5-specific Rise of Turks action
rot_select_core_region_price_cost_modifier,,none,EU5-specific Rise of Turks action
rto_create_uc_bey_cost_modifier,,none,EU5-specific Ottoman Uc bey action
rto_press_claims_price_cost_modifier,,none,EU5-specific Rise of Turks Ottoman action
rtr_appease_the_court_price_cost_modifier,,none,EU5-specific rebel/turmoil action
rtr_demand_annexation_price_cost_modifier,,none,EU5-specific rebel/turmoil action
rtr_grant_titles_price_cost_modifier,,none,EU5-specific rebel/turmoil action
rtr_negotiate_with_rebels_price_cost_modifier,,none,EU5-specific rebel/turmoil action
rtr_rein_in_area_price_cost_modifier,,none,EU5-specific rebel/turmoil action
ruler_must_be_commander_during_war,,none,EU5-specific ruler restriction
ruler_name_in_court_language,,none,EU5-specific court language mechanic
rural_disease_resistance,,none,EU5-specific rural disease resistance
rural_migration_attraction,,none,EU5-specific rural migration
rural_settlement_downgrade_cost_modifier,,none,EU5-specific settlement downgrade
rural_settlement_upgrade_cost_modifier,,none,EU5-specific settlement upgrade (marked NOT USED)
sacrifice_noble_blood_cost_modifier,,none,EU5-specific Nahua religious action
salt_pans_proximity_impact,,none,EU5-specific proximity system
scaled_lost_war_cost_modifier,,none,EU5-specific war loss impact
sea_cost_on_distance_from_capital,,none,EU5-specific sea proximity system
sea_cost_on_distance_from_capital_when_maritime,,none,EU5-specific sea proximity system
seek_alliance_with_overlord_rival_cost_modifier,,none,EU5-specific subject diplomatic action
seek_relations_with_the_byzantines_price_cost_modifier,,none,EU5-specific Byzantine relations action
eu5_modifier,eu4_matches,confidence,notes
segregate_the_infected_cost_modifier,,none,EU5-specific plague/disease action
select_expensive_child_education_cost_modifier,,none,EU5-specific education action
select_omen_god_cost_modifier,,none,EU5-specific omen action
select_orthodox_education_cost_modifier,,none,EU5-specific Orthodox education action
sell_icon_cost_modifier,,none,EU5-specific Orthodox icon action
selling_efficiency,,none,EU5-specific trade selling
send_diplomat_cost_modifier,,none,EU5-specific diplomat sending (EU4 has envoy_travel_time but different)
send_gift_cost_modifier,,none,EU5-specific diplomatic gift action
set_cabine_action_cost_modifier,,none,EU5-specific cabinet action (typo in EU5 modifier name)
set_cabinet_member_cost_modifier,,none,EU5-specific cabinet action
set_policy_cost_modifier,,none,EU5-specific policy action
settle_country_cost_modifier,settle_cost,medium,Related settle cost but EU4 is province tribal settle
shameless_privateering_modifier,,none,EU5-specific privateering flag
shared_border_impact,,none,EU5-specific opinion mechanic
ship_build_speed,global_ship_recruit_speed,high,Direct equivalent - ship building/recruit speed
ship_capture_chance,capture_ship_chance,high,Direct equivalent - chance to capture ships in battle
ship_repair_at_sea,,none,EU5-specific at-sea repair mechanic (EU4 has sea_repair permission)
ship_repair_at_sea_to_max_strength,,none,EU5-specific at-sea repair mechanic
siege_ability,siege_ability,high,Direct equivalent - siege ability
sixty_books_of_the_basilika_bureaucracy_impact_modifier,,none,EU5-specific Byzantine bureaucracy
skill_of_new_artists,,none,EU5-specific artist system
slave_market_max_level,,none,EU5-specific slave market building
slave_raid_efficiency,,none,EU5-specific slave raid effectiveness
slavery_blocked,,none,EU5-specific slavery block
small_estate_building_cost_modifier,,none,EU5-specific estate building cost
societal_value_importance_modifier,,none,EU5-specific AI importance modifier
sow_discontent_monthly_cost_cost_modifier,,none,EU5-specific espionage action
sponsor_sin_forgiveness_cost_modifier,,none,EU5-specific religious action
sponsor_troop_feast_cost_modifier,,none,EU5-specific troop feast action
spy_network_construction,spy_offence,high,Both modify spy network construction/effectiveness
stability_cost,stability_cost_modifier,high,Direct equivalent - stability investment/cost
stability_decay,,none,EU5-specific stability decay
stability_importance_modifier,,none,EU5-specific AI importance modifier
stability_investment,,none,EU5-specific stability investment resource
start_exploration_land_cost_modifier,,none,EU5-specific land exploration action
start_exploration_sea_cost_modifier,,none,EU5-specific sea exploration action
stop_blame_the_minorities_cost_modifier,,none,EU5-specific plague/disaster action
stop_disfavoring_sect_cost_modifier,,none,EU5-specific religious sect action
stop_procure_remedies_cost_modifier,,none,EU5-specific plague action
stop_promoting_sect_cost_modifier,,none,EU5-specific religious sect action
stop_sponsor_sin_forgiveness_cost_modifier,,none,EU5-specific religious action
strengthen_ministry_cost_modifier,,none,EU5-specific ministry action
strict_quarantines_cost_modifier,,none,EU5-specific plague/quarantine action
subject_income_modifier,vassal_income,high,Direct equivalent - income from subjects/vassals
subject_loyalty,,none,EU5-specific subject loyalty (EU4 uses liberty desire inverse)
subject_not_obligated_to_join_war,,none,EU5-specific subject war exemption
subject_opinions,,none,EU5-specific subject opinion
subject_pays_colonial_cost_modifier,global_tariffs,medium,Related colonial income but EU4 is tariff-specific
subject_pays_maha_samanta_cost_modifier,,none,EU5-specific Indian Maha-samanta subject type
subject_pays_march_cost_modifier,,none,EU5-specific march subject income
subject_pays_pradhana_maha_samanta_cost_modifier,,none,EU5-specific Indian subject type
subject_pays_pronoia_cost_modifier,,none,EU5-specific Byzantine Pronoia subject type
subject_pays_samanta_cost_modifier,,none,EU5-specific Indian Samanta subject type
subject_pays_trade_company_cost_modifier,,none,EU5-specific trade company subject income
subject_pays_tributary_cost_modifier,,none,EU5-specific tributary subject income
subject_pays_vassal_cost_modifier,vassal_income,high,Direct equivalent - vassal income to overlord
subjugation_preference_modifier,,none,EU5-specific AI subjugation preference
succession_crisis_price_cost_modifier,,none,EU5-specific succession crisis action
supply_depot_capacity,,none,EU5-specific supply depot mechanic
take_on_debt_cost_modifier,,none,EU5-specific debt action
target_of_military_sponsorships,,none,EU5-specific military sponsorship flag
tatar_yoke_contribution_price_cost_modifier,,none,EU5-specific Tatar Yoke situation
tatar_yoke_leader_payments_price_cost_modifier,,none,EU5-specific Tatar Yoke situation
tax_income_efficiency,global_tax_modifier,high,Direct equivalent - tax income modifier
themata_bureaucracy_impact_modifier,,none,EU5-specific Byzantine bureaucracy
third_rome_cost_modifier,third_rome_cost_modifier,high,Direct name match - third rome action cost
tithe_cost_modifier,,none,EU5-specific tithe action
tithe_price_cost_modifier,,none,EU5-specific tithe action (duplicate concept)
tolerance_heathen,tolerance_heathen,high,Direct equivalent - tolerance of heathens
tolerance_heretic,tolerance_heretic,high,Direct equivalent - tolerance of heretics
tolerance_own,tolerance_own,high,Direct equivalent - tolerance of true faith
total_loan_capacity_modifier,,none,EU5-specific loan capacity mechanic
town_upgrade_cost_modifier,,none,EU5-specific town founding action
trade_company_headquarters_level,,none,EU5-specific trade company HQ mechanic
trade_importance_modifier,,none,EU5-specific AI importance modifier
trade_income,trade_efficiency,high,Direct equivalent - trade income modifier
trade_isolation,,none,EU5-specific trade isolation flag
trade_land_efficiency,,none,EU5-specific trade land efficiency
trade_range,trade_range_modifier,high,Both modify trade range
trade_range_modifier,trade_range_modifier,high,Direct name match - trade range modifier
trade_sea_efficiency,,none,EU5-specific trade sea efficiency
train_admiral_ability,,none,EU5-specific admiral training
train_admiral_cost_modifier,admiral_cost,high,Direct equivalent - cost to hire/train admiral
train_general_ability,,none,EU5-specific general training
train_general_cost_modifier,general_cost,high,Direct equivalent - cost to hire/train general
transfer_subject_price_cost_modifier,,none,EU5-specific subject transfer action
treasure_voyage_cargo_size_modifier,treasure_fleet_income,medium,Related colonial treasure but EU4 is income-side
tribes_estate_agenda_impact,,none,EU5-specific estate agenda
tribes_estate_levy_size,,none,EU5-specific estate levy
tribes_estate_max_tax,,none,EU5-specific estate tax range
tribes_estate_min_tax,,none,EU5-specific estate tax range
tribes_estate_satisfaction_decay,,none,EU5-specific estate satisfaction
tribes_estate_satisfaction_recovery,,none,EU5-specific estate satisfaction
tribes_estate_target_satisfaction,,none,EU5-specific estate satisfaction equilibrium
tribute_payment_received_modifier,,none,EU5-specific Chinese Middle Kingdom tribute
trust_decay,,none,EU5-specific trust mechanic
trust_recovery,,none,EU5-specific trust mechanic
uc_bey_pays_cost_modifier,,none,EU5-specific Ottoman Uc bey income
unemployed_slave_promotion,,none,EU5-specific pop mechanic
union_blocked_from_declaring_war,,none,EU5-specific union restriction
union_contribution_price_cost_modifier,,none,EU5-specific union contribution
university_construction_blocked,,none,EU5-specific university block
unlock_prikazi_reform_cabinet_actions,,none,EU5-specific Russian Prikazi reform
violate_treaty_of_tordesillas_cost_modifier,,none,EU5-specific Tordesillas action
eu5_modifier,eu4_matches,confidence,notes
war_breaking_truce_cost_modifier,,none,EU5-specific truce breaking cost
war_breaking_truce_with_guarantor_cost_modifier,,none,EU5-specific truce/guarantor cost
war_declaration_stab_hit_tolerance,stability_cost_to_declare_war,medium,Related war declaration stability tolerance
war_declaration_war_exhaustion_tolerance,,none,EU5-specific war exhaustion tolerance
war_good_relations_cost_modifier,,none,EU5-specific war cost based on relations
war_great_relations_cost_modifier,,none,EU5-specific war cost based on relations
war_no_cb_cost_modifier,unjustified_demands,medium,Related unjustified war cost (EU4 is peace deal specific)
war_on_different_religion_cost_modifier,,none,EU5-specific war cost modifier
war_on_same_religion_cb_cost_modifier,,none,EU5-specific war cost modifier
war_on_same_religion_no_cb_cost_modifier,,none,EU5-specific war cost modifier
war_on_subject_cost_modifier,,none,EU5-specific war on subject cost
war_score_vs_other_religion_efficiency,warscore_cost_vs_other_religion,high,Direct equivalent - warscore cost vs other religion wars
war_when_military_acces_cost_modifier,,none,EU5-specific military access war cost
western_schism_gold_actions_price_cost_modifier,,none,EU5-specific Western Schism situation action
western_schism_ri_actions_price_cost_modifier,,none,EU5-specific Western Schism situation action
wetlands_proximity_impact,,none,EU5-specific proximity system
wetlands_wasteland_proximity_impact,,none,EU5-specific proximity system
win_war_chance_threshold,,none,EU5-specific AI war chance threshold
wrong_culture_levy_size,,none,EU5-specific non-culture levy penalty
,army_tradition,none,EU4 army tradition yearly rate (partially covered by monthly_army_tradition in EU5)
,army_professionalism,none,EU4 army professionalism concept - no direct EU5 equivalent
,drill_gain_modifier,none,EU4 army drill mechanic - no EU5 equivalent
,drill_decay_modifier,none,EU4 army drill mechanic - no EU5 equivalent
,cav_to_inf_ratio,none,EU4 cavalry-to-infantry ratio penalty - no EU5 equivalent
,cavalry_flanking,none,EU4 cavalry flanking effectiveness (loosely covered by army_light_cavalry_power)
,backrow_artillery_damage,none,EU4 artillery backrow damage - no EU5 equivalent
,fire_damage,none,EU4 fire phase damage - no EU5 equivalent (EU5 uses unit-specific power)
,fire_damage_received,none,EU4 fire damage received - no EU5 equivalent
,shock_damage,none,EU4 shock phase damage - no EU5 equivalent
,shock_damage_received,none,EU4 shock damage received - no EU5 equivalent
,morale_damage,none,EU4 morale damage - no EU5 equivalent
,morale_damage_received,none,EU4 morale damage received - no EU5 equivalent
,reserves_organisation,none,EU4 reserves organization concept - no EU5 equivalent
,no_cost_for_reinforcing,none,EU4 free reinforcement flag - no EU5 equivalent
,manpower_recovery_speed,none,EU4 manpower recovery speed - no direct EU5 equivalent
,global_regiment_cost,none,EU4 all-regiment cost (EU5 splits by unit type)
,land_forcelimit,none,EU4 land force limit (EU5 uses expected_army_size)
,land_forcelimit_modifier,none,EU4 land force limit modifier
,max_hostile_attrition,none,EU4 max hostile attrition cap - no EU5 equivalent
,artillery_barrage_cost,none,EU4 artillery barrage action cost - no EU5 equivalent
,rival_border_fort_maintenance,none,EU4 rival border fort maintenance - no EU5 equivalent
,war_exhaustion_cost,none,EU4 war exhaustion reduction cost - no EU5 equivalent
,leader_land_fire,none,EU4 leader pip min - no EU5 equivalent (EU5 uses train_general_ability)
,leader_land_manuever,none,EU4 leader pip min - no EU5 equivalent
,leader_land_shock,none,EU4 leader pip min - no EU5 equivalent
,leader_siege,none,EU4 leader pip min - no EU5 equivalent
,max_general_fire,none,EU4 leader pip max - no EU5 equivalent
,max_general_maneuver,none,EU4 leader pip max - no EU5 equivalent
,max_general_shock,none,EU4 leader pip max - no EU5 equivalent
,max_general_siege,none,EU4 leader pip max - no EU5 equivalent
,free_leader_pool,none,EU4 free leader pool - no EU5 equivalent
,free_land_leader_pool,none,EU4 free land leader pool - no EU5 equivalent
,free_navy_leader_pool,none,EU4 free navy leader pool - no EU5 equivalent
,raze_power_gain,none,EU4 monarch power from razing - EU5 removed monarch power
,war_taxes_cost_modifier,none,EU4 war taxes action - no EU5 equivalent
,leader_cost,none,EU4 leader hiring cost - partially covered by train_general/admiral_cost
,manpower_in_true_faith_provinces,none,EU4 manpower from true faith provinces
,regiment_manpower_usage,none,EU4 regiment manpower usage - no EU5 equivalent
,capped_by_forcelimit,none,EU4 forcelimit cap flag - no EU5 equivalent
,global_attacker_dice_roll_bonus,none,EU4 attacker dice bonus - no EU5 equivalent
,global_defender_dice_roll_bonus,none,EU4 defender dice bonus - no EU5 equivalent
,own_territory_dice_roll_bonus,none,EU4 own territory dice bonus - no EU5 equivalent
,manpower_in_accepted_culture_provinces,none,EU4 manpower from accepted culture - no EU5 equivalent
,manpower_in_culture_group_provinces,none,EU4 manpower from culture group - no EU5 equivalent
,manpower_in_own_culture_provinces,none,EU4 manpower from own culture - no EU5 equivalent
,may_build_supply_depot,none,EU4 supply depot permission (EU5 has create_supply_depot_cost_modifier)
,may_refill_garrison,none,EU4 refill garrison from armies - no EU5 equivalent
,may_return_manpower_on_disband,none,EU4 manpower return on disband - no EU5 equivalent
,attack_bonus_in_capital_terrain,none,EU4 capital terrain attack bonus - no EU5 equivalent
,force_march_free,none,EU4 free force march - no EU5 equivalent
,enable_forced_march,none,EU4 forced march enable - no EU5 equivalent
,mercenary_discipline,none,EU4 mercenary discipline - no EU5 equivalent (EU5 has general discipline)
,mercenary_manpower,none,EU4 mercenary manpower - no EU5 equivalent
,merc_leader_army_tradition,none,EU4 merc leader tradition - no EU5 equivalent
,merc_independent_from_trade_range,none,EU4 merc trade range - no EU5 equivalent
,allow_mercenaries_to_split,none,EU4 mercenary splitting flag - no EU5 equivalent
,special_unit_forcelimit,none,EU4 special unit forcelimit - no EU5 equivalent (units restructured)
,special_unit_cost_modifier,none,EU4 special unit cost - no EU5 equivalent
,special_unit_manpower_cost_modifier,none,EU4 special unit manpower cost - no EU5 equivalent
,has_marines,none,EU4 marines flag - no EU5 equivalent
,allowed_marine_fraction,none,EU4 marines fraction - no EU5 equivalent
,has_banners,none,EU4 Manchu banners - no EU5 equivalent
,amount_of_banners,none,EU4 Manchu banners amount - no EU5 equivalent
,can_recruit_cawa,none,EU4 Cawa units - no EU5 equivalent
,amount_of_cawa,none,EU4 Cawa amount - no EU5 equivalent
,cawa_cost_modifier,none,EU4 Cawa cost - no EU5 equivalent
,has_carolean,none,EU4 Carolean units - no EU5 equivalent
,amount_of_carolean,none,EU4 Carolean amount - no EU5 equivalent
,can_recruit_hussars,none,EU4 Winged Hussars - no EU5 equivalent
,amount_of_hussars,none,EU4 Hussars amount - no EU5 equivalent
,hussars_cost_modifier,none,EU4 Hussars cost - no EU5 equivalent
,can_recruit_janissaries,none,EU4 Janissaries - no EU5 equivalent
,janissary_cost_modifier,none,EU4 Janissary cost - no EU5 equivalent
,allow_janissaries_from_own_faith,none,EU4 Janissary faith rule - no EU5 equivalent
,can_recruit_cossacks,none,EU4 Cossack units - no EU5 equivalent (EU5 has cossacks estate instead)
,allowed_cossack_fraction,none,EU4 Cossack fraction - no EU5 equivalent
,can_recruit_rajputs,none,EU4 Rajput units - no EU5 equivalent
,allowed_rajput_fraction,none,EU4 Rajput fraction - no EU5 equivalent
,can_recruit_revolutionary_guards,none,EU4 Revolutionary Guards - no EU5 equivalent
,allowed_rev_guard_fraction,none,EU4 Revolutionary Guards fraction - no EU5 equivalent
,has_streltsy,none,EU4 Streltsy - no EU5 equivalent
,allowed_streltsy_fraction,none,EU4 Streltsy fraction - no EU5 equivalent
,amount_of_streltsy,none,EU4 Streltsy amount - no EU5 equivalent
eu5_modifier,eu4_matches,confidence,notes
,has_tercio,none,EU4 Tercio units - no EU5 equivalent
,allowed_tercio_fraction,none,EU4 Tercio fraction - no EU5 equivalent
,amount_of_tercio,none,EU4 Tercio amount - no EU5 equivalent
,has_samurai,none,EU4 Samurai units - no EU5 equivalent
,allowed_samurai_fraction,none,EU4 Samurai fraction - no EU5 equivalent
,amount_of_samurai,none,EU4 Samurai amount - no EU5 equivalent
,has_musketeer,none,EU4 Musketeer units - no EU5 equivalent
,allowed_musketeer_fraction,none,EU4 Musketeer fraction - no EU5 equivalent
,amount_of_musketeers,none,EU4 Musketeer amount - no EU5 equivalent
,has_mamluks,none,EU4 Mamluk units - no EU5 equivalent
,allowed_mamluks_fraction,none,EU4 Mamluk fraction - no EU5 equivalent
,amount_of_mamluks,none,EU4 Mamluk amount - no EU5 equivalent
,has_qizilbash,none,EU4 Qizilbash units - no EU5 equivalent
,allowed_qizilbash_fraction,none,EU4 Qizilbash fraction - no EU5 equivalent
,amount_of_qizilbash,none,EU4 Qizilbash amount - no EU5 equivalent
,siege_blockade_progress,none,EU4 blockade siege progress bonus - no EU5 equivalent
,global_naval_engagement_modifier,none,EU4 naval engagement width modifier - no EU5 equivalent
,global_naval_engagement,none,EU4 naval engagement width - no EU5 equivalent
,naval_morale_damage,none,EU4 naval morale damage - no EU5 equivalent
,naval_morale_damage_received,none,EU4 naval morale damage received - no EU5 equivalent
,ship_durability,none,EU4 ship durability - no EU5 equivalent
,sunk_ship_morale_hit_recieved,none,EU4 sunk ship morale hit - no EU5 equivalent
,leader_naval_fire,none,EU4 naval leader pip min - no EU5 equivalent
,leader_naval_manuever,none,EU4 naval leader pip min - no EU5 equivalent
,leader_naval_shock,none,EU4 naval leader pip min - no EU5 equivalent
,max_admiral_fire,none,EU4 admiral pip max - no EU5 equivalent
,max_admiral_maneuver,none,EU4 admiral pip max - no EU5 equivalent
,max_admiral_shock,none,EU4 admiral pip max - no EU5 equivalent
,max_admiral_siege,none,EU4 admiral pip max - no EU5 equivalent
,global_naval_barrage_cost,none,EU4 naval barrage action cost - no EU5 equivalent
,flagship_cost,none,EU4 flagship cost - no EU5 equivalent (EU5 removed flagships)
,disengagement_chance,none,EU4 disengagement chance - no EU5 equivalent
,transport_attrition,none,EU4 transport attrition - no EU5 equivalent
